Y,U,czas
0.984621,0.0155382,0.0494,
0.984763,0.0153951,0.0495,
0.984903,0.0152533,0.0496,
0.985042,0.0151129,0.0497,
0.98518,0.0149737,0.0498,
0.985316,0.0148359,0.0499,
0.985452,0.0146992,0.05,
0.985586,0.0145639,0.0501,
0.985718,0.0144298,0.0502,
0.98585,0.0142969,0.0503,
0.98598,0.0141653,0.0504,
0.986109,0.0140349,0.0505,
0.986237,0.0139056,0.0506,
0.986364,0.0137776,0.0507,
0.986489,0.0136507,0.0508,
0.986614,0.013525,0.0509,
0.986737,0.0134005,0.051,
0.986859,0.0132771,0.0511,
0.98698,0.0131548,0.0512,
0.9871,0.0130337,0.0513,
0.987219,0.0129137,0.0514,
0.987336,0.0127948,0.0515,
0.987453,0.012677,0.0516,
0.987569,0.0125603,0.0517,
0.987683,0.0124446,0.0518,
0.987796,0.01233,0.0519,
0.987909,0.0122165,0.052,
0.98802,0.012104,0.0521,
0.98813,0.0119925,0.0522,
0.98824,0.0118821,0.0523,
0.988348,0.0117727,0.0524,
0.988455,0.0116643,0.0525,
0.988562,0.0115569,0.0526,
0.988667,0.0114505,0.0527,
0.988771,0.011345,0.0528,
0.988875,0.0112406,0.0529,
0.988977,0.0111371,0.053,
0.989079,0.0110345,0.0531,
0.989179,0.0109329,0.0532,
0.989279,0.0108323,0.0533,
0.989378,0.0107325,0.0534,
0.989475,0.0106337,0.0535,
0.989572,0.0105358,0.0536,
0.989668,0.0104388,0.0537,
0.989763,0.0103426,0.0538,
0.989858,0.0102474,0.0539,
0.989951,0.0101531,0.054,
0.990044,0.0100596,0.0541,
0.990135,0.00996694,0.0542,
0.990226,0.00987516,0.0543,
0.990316,0.00978424,0.0544,
0.990405,0.00969414,0.0545,
0.990494,0.00960488,0.0546,
0.990581,0.00951644,0.0547,
0.990668,0.00942881,0.0548,
0.990754,0.00934199,0.0549,
0.990839,0.00925597,0.055,
0.990923,0.00917074,0.0551,
0.991007,0.0090863,0.0552,
