x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.020000E+00,+3.216080E+00,+376.281E-03,-450.251E-03,-2.613065E+00
-9.015000E+00,+3.015075E+00,+405.226E-03,-482.412E-03,-2.613065E+00
-9.010000E+00,+3.135678E+00,+390.754E-03,-458.291E-03,-2.733668E+00
-9.005000E+00,+3.577889E+00,+361.809E-03,-402.010E-03,-2.613065E+00
-9.000000E+00,+3.618090E+00,+289.447E-03,-361.809E-03,-2.613065E+00
-8.995000E+00,+3.658291E+00,+390.754E-03,-466.332E-03,-2.814070E+00
-8.990000E+00,+2.613065E+00,+578.894E-03,-619.095E-03,-2.814070E+00
-8.985000E+00,+2.010050E+00,+723.618E-03,-804.020E-03,-2.733668E+00
-8.980000E+00,+2.412060E+00,+593.367E-03,-691.457E-03,-2.974874E+00
-8.975000E+00,+3.216080E+00,+434.171E-03,-522.613E-03,-2.814070E+00
-8.970000E+00,+2.412060E+00,+636.784E-03,-707.538E-03,-2.814070E+00
-8.965000E+00,+3.216080E+00,+463.116E-03,-562.814E-03,-2.814070E+00
-8.960000E+00,+3.015075E+00,+535.477E-03,-619.095E-03,-2.814070E+00
-8.955000E+00,+2.492462E+00,+694.673E-03,-747.739E-03,-2.974874E+00
-8.950000E+00,+3.417085E+00,+434.171E-03,-562.814E-03,-3.015075E+00
-8.945000E+00,+4.381910E+00,+231.558E-03,-361.809E-03,-2.854271E+00
-8.940000E+00,+3.256281E+00,+607.839E-03,-675.377E-03,-3.015075E+00
-8.935000E+00,+2.291457E+00,+795.980E-03,-804.020E-03,-3.015075E+00
-8.930000E+00,+2.613065E+00,+723.618E-03,-763.819E-03,-3.015075E+00
-8.925000E+00,+2.613065E+00,+651.256E-03,-763.819E-03,-3.015075E+00
-8.920000E+00,+3.457286E+00,+564.422E-03,-635.176E-03,-3.175879E+00
-8.915000E+00,+3.497487E+00,+506.533E-03,-586.935E-03,-3.015075E+00
-8.910000E+00,+3.537688E+00,+549.950E-03,-603.015E-03,-3.015075E+00
-8.905000E+00,+3.417085E+00,+564.422E-03,-603.015E-03,-3.216080E+00
-8.900000E+00,+4.422111E+00,+289.447E-03,-361.809E-03,-3.216080E+00
-8.895000E+00,+4.703518E+00,+332.864E-03,-345.729E-03,-3.216080E+00
-8.890000E+00,+3.417085E+00,+622.312E-03,-683.417E-03,-3.216080E+00
-8.885000E+00,+3.015075E+00,+767.035E-03,-812.060E-03,-3.216080E+00
-8.880000E+00,+2.412060E+00,+868.342E-03,-924.623E-03,-3.376884E+00
-8.875000E+00,+3.417085E+00,+578.894E-03,-683.417E-03,-3.417085E+00
-8.870000E+00,+3.859297E+00,+578.894E-03,-578.894E-03,-3.417085E+00
-8.865000E+00,+3.819096E+00,+578.894E-03,-643.216E-03,-3.336683E+00
-8.860000E+00,+3.819096E+00,+578.894E-03,-667.337E-03,-3.417085E+00
-8.855000E+00,+4.381910E+00,+448.643E-03,-538.693E-03,-3.577889E+00
-8.850000E+00,+5.025126E+00,+361.809E-03,-442.211E-03,-3.417085E+00
-8.845000E+00,+4.341709E+00,+535.477E-03,-570.854E-03,-3.417085E+00
